Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2010-01-04,6.424604415893555,6.439314207324058,6.37567171352294,6.407192752418554,493729600
2010-01-05,6.435710906982422,6.472035267155365,6.401787809587637,6.442315481854477,601904800
2010-01-06,6.333343505859375,6.461229308639555,6.326738929835494,6.435712029359036,552160000
2010-01-07,6.321634769439697,6.364263903274505,6.275704149333206,6.3567587035127895,477131200
2010-01-08,6.3636627197265625,6.364263536484609,6.276004797243845,6.313228982669677,447610800
2010-01-11,6.307528018951416,6.394285748396015,6.257694279757098,6.388281586851676,462229600
2010-01-12,6.235779285430908,6.297321141564239,6.196753436605928,6.279908671728426,594459600
2010-01-13,6.323736667633057,6.332142491954052,6.127105630676993,6.2402816461283805,605892000
2010-01-14,6.287113189697266,6.318034217494398,6.2748050606744465,6.307527336740062,432894000
2010-01-15,6.18204402923584,6.352258417727271,6.180242780603052,6.332144474661142,594067600
2010-01-19,6.4555253982543945,6.460028518579311,6.2213691535354,6.254090625461127,730007600
2010-01-20,6.356158256530762,6.470834494605224,6.289213081639465,6.45162158533222,612152800
2010-01-21,6.246285915374756,6.403591739915323,6.2204688225918865,6.366667349187989,608154400
2010-01-22,5.9364776611328125,6.229173663915011,5.918766189752913,6.207559488314014,881767600
2010-01-25,6.09618616104126,6.1451184761422475,6.0097282357487245,6.079374908923596,1065699600
2010-01-26,6.182343006134033,6.415599447072696,6.0814755076569185,6.182643214179712,1867110000
2010-01-27,6.24058198928833,6.321635754474203,5.989913488740547,6.209660962263698,1722568400
2010-01-28,5.9827094078063965,6.169134606746448,5.964997933719202,6.152023548785045,1173502400
2010-01-29,5.76566219329834,6.070066249914543,5.711325755156386,6.036443760131146,1245952400
2010-02-01,5.845818042755127,5.883943667109292,5.742849076678136,5.774970539460983,749876400
2010-02-02,5.879740238189697,5.8935498085922395,5.805290645295953,5.881241679262661,698342400
2010-02-03,5.980907440185547,6.010027217972776,5.836510585791934,5.859025786989696,615328000
2010-02-04,5.765361309051514,5.955087893947124,5.7509513297121435,5.905854599494181,757652000
2010-02-05,5.867731094360352,5.883942326910442,5.729338408158305,5.782774632348042,850306800
2010-02-08,5.827506065368652,5.940381904131849,5.823903568231383,5.87463793462418,478270800
2010-02-09,5.889647006988525,5.9289730587479115,5.846417849802574,5.896551391264354,632886800
2010-02-10,5.8575263023376465,5.901956701289979,5.831709206801137,5.8806415249155215,370361600
2010-02-11,5.964095592498779,5.996517655324463,5.825702912540377,5.850319567453347,550345600
2010-02-12,6.015430450439453,6.053255856972336,5.868932152327783,5.947284436592967,655468800
2010-02-16,6.106090545654297,6.114796175856147,6.049652650484299,6.06226098424395,543737600
2010-02-17,6.080575466156006,6.133410480528079,6.029840705731055,6.129807983872214,436396800
2010-02-18,6.091980457305908,6.120800019743527,6.031639861687733,6.052953824550829,422825200
2010-02-19,6.05415678024292,6.100087808120595,6.037345531041181,6.059861133737881,415469600
2010-02-22,6.016631126403809,6.079073190767008,5.979706743184227,6.0742702633635055,390563600
2010-02-23,5.915764808654785,6.043950850067472,5.875237921259158,6.004023978005646,575094800
2010-02-24,6.023837089538574,6.0472525151801415,5.939179624169119,5.9508877378017075,460566400
2010-02-25,6.064064979553223,6.089882074701731,5.910662246736532,5.925372042922806,665126000
2010-02-26,6.142717361450195,6.159228405880867,6.064064844535981,6.075472351346229,507460800
2010-03-01,6.273904323577881,6.289214130982631,6.167632688499138,6.176638528292245,550093600
2010-03-02,6.269703388214111,6.329142991701313,6.236380688280741,6.30212466217921,566546400
2010-03-03,6.284111022949219,6.300322258176908,6.242383705888224,6.272403710241767,372052800
2010-03-04,6.325538635253906,6.331843004211796,6.263096564201659,6.282610487978367,366041200
2010-03-05,6.572904586791992,6.5954197884849295,6.443217522047294,6.4525239710825835,899620400
2010-03-08,6.576807498931885,6.6071273088270885,6.551890632184862,6.604726045295875,429889600
2010-03-09,6.69508695602417,6.754526547875784,6.541083830574317,6.553692168116807,920259200
2010-03-10,6.749722957611084,6.768936272454618,6.700490441571761,6.719403147559056,596218000
2010-03-11,6.769536018371582,6.769536018371582,6.704092667474048,6.72180494243937,405700400
2010-03-12,6.802558422088623,6.836480726929872,6.777041140435703,6.8256732378859954,416323600
2010-03-15,6.71970272064209,6.769535247249666,6.61193004693439,6.765933552680453,493502800
2010-03-16,6.738014221191406,6.75392484431759,6.679775472665593,6.729909006034774,446908000
2010-03-17,6.7281084060668945,6.798054872472256,6.702591525332249,6.751523830607335,450956800
2010-03-18,6.744019985198975,6.7545268668452465,6.682778741307207,6.727508140524381,342109600
2010-03-19,6.671971321105957,6.761731525599947,6.641350500270902,6.7482225639205,559445600
2010-03-22,6.747021198272705,6.784546801414264,6.6089287102187075,6.6185353672307645,456419600
2010-03-23,6.855396270751953,6.868005013191066,6.727510002312671,6.773741256298845,602431200
2010-03-24,6.885713577270508,6.910630441183526,6.829875689269824,6.833778794195104,597780400
2010-03-25,6.804058074951172,6.933745519804528,6.792049755532307,6.932244079065441,542284400
2010-03-26,6.93164587020874,6.963166512639333,6.861098181753544,6.873106503607268,640875200
2010-03-29,6.976376056671143,7.02080605349527,6.9532612355899746,6.9946891514378935,540744400
2010-03-30,7.080243110656738,7.12917661218224,7.032210633912368,7.1027583090799284,527310000
2010-03-31,7.054725170135498,7.103058251144562,7.038514741831434,7.069435761066558,430659600
2010-04-01,7.083847522735596,7.166702545462233,6.987182928742675,7.127076683336795,603145200
2010-04-05,7.159498691558838,7.16009910772921,7.04782368874067,7.054128459341447,684507600
2010-04-06,7.1910176277160645,7.212031384714835,7.114766403962342,7.150790559976982,447017200
2010-04-07,7.22283935546875,7.262466009899618,7.1645998050123465,7.191317916237254,628502000
2010-04-08,7.20332670211792,7.251058574835145,7.14598817276622,7.218036494277686,572989200
2010-04-09,7.2585601806640625,7.261563061164583,7.2186337340304725,7.2477534983289,334182800
2010-04-12,7.2735724449157715,7.296987864555244,7.259162462600155,7.270870172419892,333026400
2010-04-13,7.277775764465332,7.28888386182497,7.238149108134309,7.260665110056623,306210800
2010-04-14,7.375641345977783,7.3792438418487025,7.327009254967312,7.363333219230544,404076400
2010-04-15,7.47260856628418,7.475910454257223,7.370239618011878,7.378344835126576,376784800
2010-04-16,7.426975250244141,7.539250626404965,7.341417982661356,7.462098380377558,750545600
2010-04-19,7.41707181930542,7.441688081337466,7.25796473631784,7.415870986931966,566924400
2010-04-20,7.342621803283691,7.482515568065197,7.293689086581827,7.461201194283442,738326400
2010-04-21,7.781815052032471,7.8127360801337495,7.6770444474442625,7.769206314029074,982391200
2010-04-22,7.999462127685547,8.007867954546509,7.691155220551563,7.752396871771951,793424800
2010-04-23,8.130349159240723,8.170876048134094,8.015372268783086,8.045091666655404,796955600
2010-04-26,8.090418815612793,8.179277961066294,8.0510919762475,8.161866702153267,479068800
2010-04-27,7.866471767425537,8.040588436951658,7.82084174480743,8.02347697806395,709343600
2010-04-28,7.853263854980469,7.925311389730356,7.697459467856702,7.902796986034357,758402400
2010-04-29,8.064606666564941,8.105433368165638,7.865573089360271,7.895892907436909,558840800
2010-04-30,7.83795166015625,8.122541635027753,7.835250188915952,8.084716227922497,542463600
2010-05-03,7.995858192443848,8.04178962300454,7.891688003782263,7.920507976408149,454342000
2010-05-04,7.765604496002197,7.903997612401731,7.707666341792637,7.891990091068162,723819600
2010-05-05,7.684849262237549,7.749392785064951,7.466903046207975,7.595990091862781,883103200
2010-05-06,7.392452239990234,7.752692972510879,5.981506498467237,7.620004261281899,1285860800
2010-05-07,7.080543518066406,7.402059488597183,6.760829597250659,7.316202401106805,1676018400
2010-05-10,7.624806880950928,7.644620606465861,7.460897341626199,7.5125323095265655,984306400
2010-05-11,7.700760841369629,7.801928141946519,7.520039615160612,7.560265887992866,848906800
2010-05-12,7.867970943450928,7.899191771589133,7.766203244429142,7.782412872020039,654379600
2010-05-13,7.755998134613037,7.955331472991745,7.697158157574585,7.901895240932465,599712400
2010-05-14,7.619704723358154,7.699558448334178,7.49001807348995,7.659931793847004,759362800
2010-05-17,7.631711483001709,7.690551437512045,7.436280523343214,7.646121464095669,762834800
2010-05-18,7.575880527496338,7.76170498315681,7.512837610922584,7.714573501035429,782678400
2010-05-19,7.455195426940918,7.592687497370399,7.350425630775395,7.490018756590615,1025726800
2010-05-20,7.137585163116455,7.320407489830054,7.091053307729858,7.26126689405419,1282915200
2010-05-21,7.27447509765625,7.339918845405901,6.9451537002479515,6.989283078530614,1223891200
2010-05-24,7.4077630043029785,7.532046717144963,7.392753405236587,7.423373821020502,754238800
2010-05-25,7.361530780792236,7.407761200412404,7.119568791956405,7.18531232691,1048006400
2010-05-26,7.328209400177002,7.568971401583452,7.3174019123948275,7.507429965259068,850654000
2010-05-27,7.60559606552124,7.621807299095625,7.478311067653705,7.523040861562477,666282400
2010-05-28,7.7115678787231445,7.787218702580067,7.605596443227557,7.78691889534781,815614800
2010-06-01,7.830148220062256,7.983550942268779,7.774010511306094,7.7959253004247,876472800
2010-06-02,7.92380952835083,7.949326006348541,7.815135833753872,7.941520598216101,688548000
2010-06-03,7.898894309997559,7.971842866371017,7.817539126106945,7.960734767057087,650106800
2010-06-04,7.683951377868652,7.862270188945021,7.644024900895348,7.7514961998770175,758304400
2010-06-07,7.5332465171813965,7.779711250568982,7.521538005435496,7.753894166542661,886942000
2010-06-08,7.484914779663086,7.6191049475117865,7.374440642566269,7.602293299821115,1000770400
2010-06-09,7.300890922546387,7.562067069294527,7.279577357268142,7.549157724656313,854630000
2010-06-10,7.520340919494629,7.534449497298771,7.270873207086548,7.350126539653835,776356000
